                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.84054,                 1.5668,                0.98365,                  1.173,                0.43967,                0.42786,                0.41349,                0.28503,                0.44592,                0.43079,                0.41892,                0.25146,                 1.0101,                 1.7851,                 1.4273,                 1.3438,              0.0096634,              0.0096634,              0.0096634
                     36,                  0.838,                 1.5491,                0.98033,                 1.1696,                0.45394,                0.44254,                0.45391,                 0.3078,                0.45651,                0.43835,                0.45336,                0.27901,                 1.0012,                 1.7622,                 1.3321,                 1.3225,              0.0096535,              0.0096535,              0.0096535
                     37,                0.83606,                 1.5656,                0.98625,                  1.178,                0.43576,                0.46018,                0.40196,                0.26894,                0.44373,                0.41033,                0.40141,                 0.2429,                 1.0726,                 1.9744,                 1.5957,                 1.3748,              0.0096436,              0.0096436,              0.0096436
                     38,                0.84534,                  1.585,                0.98132,                 1.1881,                 0.4326,                0.48413,                0.44887,                0.30893,                0.43344,                0.48481,                0.45081,                0.28168,                 0.9717,                 1.7632,                 1.2627,                 1.3052,              0.0096337,              0.0096337,              0.0096337
                     39,                0.82561,                 1.5145,                0.94462,                 1.1653,                0.42026,                0.43328,                0.40317,                0.27787,                0.42023,                0.43547,                0.40464,                0.24739,                 1.0447,                 1.9211,                 1.4357,                  1.357,              0.0096238,              0.0096238,              0.0096238
                     40,                 0.8187,                 1.4871,                 0.9377,                 1.1545,                0.42525,                0.47458,                0.43361,                0.29681,                0.42603,                0.47453,                0.43423,                0.26224,                0.98647,                 1.8215,                 1.3279,                 1.3112,              0.0096139,              0.0096139,              0.0096139
                     41,                0.81263,                 1.4915,                0.93761,                 1.1493,                0.41309,                0.41805,                0.40932,                0.27891,                0.41474,                0.41973,                0.40981,                0.25079,                 1.0807,                 2.0721,                 1.5196,                 1.3918,               0.009604,               0.009604,               0.009604
                     42,                0.81514,                 1.5053,                0.91696,                 1.1424,                0.49306,                0.41229,                0.43665,                0.29904,                0.48735,                0.42058,                0.43893,                0.26749,                0.99268,                 1.8232,                 1.3471,                 1.3273,              0.0095941,              0.0095941,              0.0095941
                     43,                 0.8095,                 1.4957,                0.91665,                  1.151,                0.43237,                0.46347,                0.41181,                0.28597,                0.43427,                0.46458,                0.41525,                0.25332,                 1.0617,                 2.0314,                  1.642,                  1.376,              0.0095842,              0.0095842,              0.0095842
                     44,                0.81387,                  1.478,                 0.9001,                 1.1554,                0.43563,                0.51097,                0.46328,                0.32026,                 0.4354,                0.51092,                0.46703,                 0.2902,                0.95573,                 1.7523,                 1.2911,                 1.2906,              0.0095743,              0.0095743,              0.0095743
